Coefficient	Estimate	Std. Error	df	t value	Pr(>|t|)
Intercept	1.424251	1.789352	2.443422	0.796	0.496056
Previous year precipitation	7.173628	1.778748	27.201024	4.033	0.000401***
Slope angle	1.528945	1.486927	101.042240	1.028	0.306284
Change in shrub cover	-1.852055	1.621398	100.105560	-1.142	0.256072
Change in herb cover	2.184705	1.819355	117.996609	1.201	0.232229
Initial BG cover	-6.220648	1.579298	108.857651	-3.939	0.000145***
Initial shrub cover	-2.608081	1.666396	111.644569	-1.565	0.120389
Initial herb cover	0.238069	1.840937	114.096112	0.129	0.897333
Change in shrub cover * Previous year precip	-0.365903	1.870378	115.896456	-0.196	0.845242
Change in herb cover * Previous year precip	0.007005	1.531060	72.730520	0.005	0.996362
Change in shrub cover * Slope angle	2.414419	1.852220	117.974880	1.304	0.194933
Change in herb cover * Slope angle	-0.122564	1.875574	117.998601	-0.065	0.948008
