Coefficient	Estimate	Std. Error	df	t value	Pr(>|t|)
Intercept	10.5028	3.9864	13.7196	2.635	0.019870*
Previous year precipitation	7.0175	1.8923	41.7200	3.708	0.000609***
Aspect, N	-8.5687	6.1740	22.8041	-1.388	0.178592
Aspect, S	-11.5613	4.8667	24.2617	-2.376	0.025757*
Aspect, SW	-7.7900	6.6895	29.2684	-1.165	0.253624
Aspect, W	-12.0941	4.6391	21.8490	-2.607	0.016147*
Plot slope	2.5520	1.6423	42.6706	1.554	0.127591
Change in shrub cover	-3.4947	1.6328	114.1045	-2.140	0.034459*
Change in herb cover	0.7787	1.6991	121.3027	0.458	0.647583
Change in shrub cover * Previous year precip	-0.3149	1.6527	117.8481 	-0.191	0.849220
Change in herb cover * Previous year precip	0.1605	1.6099	104.3456	0.100	0.920785
