Site,Date,Year,StudyYear,Latitude,Longitude,Elevation_ft,SiteDateTransectID,Transect,Prev_year_precip,MAP,MAT
KinneyHill,2021-09-28T00:00:00Z,2021,1,32.248583333333336,-111.18043333333334,2872,54,70,332.19,285.78,21
KinneyHill,2022-11-01T00:00:00Z,2022,2,32.248583333333336,-111.18043333333334,2872,61,70,247.55,285.78,21
KinneyHill,2021-09-29T00:00:00Z,2021,1,32.24865,-111.17968333333332,2913,55,66,333.03,286.17,21
KinneyHill,2022-11-01T00:00:00Z,2022,2,32.24865,-111.17968333333332,2913,62,66,247.15,286.17,21
KinneyHill,2021-09-12T00:00:00Z,2021,1,32.24901666666667,-111.17916666666666,2959,52,78,325.69,286.65,21
KinneyHill,2022-11-11T00:00:00Z,2022,2,32.24901666666667,-111.17916666666666,2959,59,78,246.82,286.65,21
KinneyHill,2021-09-11T00:00:00Z,2021,1,32.24956666666667,-111.18116666666668,2918,51,57,323.62,285.66,21
KinneyHill,2022-11-04T00:00:00Z,2022,2,32.24956666666667,-111.18116666666668,2918,58,57,248.09,285.66,21
KinneyHill,2021-09-11T00:00:00Z,2021,1,32.24905,-111.18168333333334,2836,50,76,322.91,285.54,21
KinneyHill,2022-11-04T00:00:00Z,2022,2,32.24905,-111.18168333333334,2836,57,76,248.42,285.54,21
KinneyHill,2021-09-12T00:00:00Z,2021,1,32.24903333333334,-111.17893333333332,2899,53,77,325.96,286.85,21
KinneyHill,2022-11-11T00:00:00Z,2022,2,32.24903333333334,-111.17893333333332,2899,60,77,246.72,286.85,21
KinneyHill,2021-09-29T00:00:00Z,2021,1,32.25013333333333,-111.1835,2783,56,68,328.83,285.51,21
KinneyHill,2022-11-11T00:00:00Z,2022,2,32.25013333333333,-111.1835,2783,63,68,252.67,285.51,21
ApachePeak,2021-10-15T00:00:00Z,2021,1,32.283433333333335,-111.19218333333332,3052,68,84,319.74,289.77,21.1
ApachePeak,2022-10-11T00:00:00Z,2022,2,32.283433333333335,-111.19218333333332,3052,74,84,263.63,289.77,21.1
ApachePeak,2023-11-03T00:00:00Z,2023,3,32.283433333333335,-111.19218333333332,3052,81,84,238.8,289.77,21.1
ApachePeak,2021-10-02T00:00:00Z,2021,1,32.28378333333333,-111.19218333333332,3080,66,82,319.08,289.72,21.1
ApachePeak,2022-10-17T00:00:00Z,2022,2,32.28378333333333,-111.19218333333332,3080,72,82,265.65,289.72,21.1
ApachePeak,2023-10-27T00:00:00Z,2023,3,32.28378333333333,-111.19218333333332,3080,79,82,238.71,289.72,21.1
ApachePeak,2021-10-08T00:00:00Z,2021,1,32.28426666666667,-111.19056666666668,2802,69,85,321.29,290.1,21.1
