Date,Observers,Year,StudyYear,Site,Transect,Plot,Plant_ID,BGDensity,BGCover,ShrubCover,ForbCover,NGCover,PlotSlope,Aspect,Vegetative_culms,Reproductive_culms,Longestleaflength_cm,Total_Live_Culms,Notes,Latitude,Longitude,Elevation_ft,SiteDateTransectID,Prev_year_precip,MAP,MAT,Perc_dev,Deviation_mm,HerbCover,BGCover_log,BGDensity_log,Change_Reproductive_culms,Change_Total_Live_Culms,Change_BGDensity,Change_BGCover,Change_NGCover,Change_ForbCover,Change_HerbCover,Change_ShrubCover
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,260,1,4.5625,33,20,0.5,0.5,10.2,W,0,0,0,0,plant dead,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,1,3.4965075614664802,1.5178707189086098,-4,-14,2.875,8,0.5,-0.5,0,-5
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,260,1,7.3125,40,35,0.5,1,10.2,W,0,0,0,0,dead,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,1.5,3.6888794541139363,1.989585212557975,0,0,2.75,7,0.5,0,0.5,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,260,2,4.5625,33,20,0.5,0.5,10.2,W,42,5,123,47,check 2020 data; nail was removed so replaced it near only available plant,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,1,3.4965075614664802,1.5178707189086098,3,29,2.875,8,0.5,-0.5,0,-5
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,260,2,7.3125,40,35,0.5,1,10.2,W,46,18,98.8,64,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,1.5,3.6888794541139363,1.989585212557975,13,17,2.75,7,0.5,0,0.5,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,260,3,4.5625,33,20,0.5,0.5,10.2,W,21,15,102,36,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,1,3.4965075614664802,1.5178707189086098,12,14,2.875,8,0.5,-0.5,0,-5
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,260,3,7.3125,40,35,0.5,1,10.2,W,28,10,86.2,38,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,1.5,3.6888794541139363,1.989585212557975,-5,2,2.75,7,0.5,0,0.5,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,260,4,4.5625,33,20,0.5,0.5,10.2,W,0,0,0,0,plant dead,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,1,3.4965075614664802,1.5178707189086098,-3,-14,2.875,8,0.5,-0.5,0,-5
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,260,4,7.3125,40,35,0.5,1,10.2,W,0,0,0,0,dead,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,1.5,3.6888794541139363,1.989585212557975,0,0,2.75,7,0.5,0,0.5,15
2021-09-26T00:00:00Z,"KH, LO, SZ, Brooklyn, Kayla",2021,2,TumamocHill,5_2,260,5,4.5625,33,20,0.5,0.5,10.2,W,38,7,142,45,NA,32.217616666666665,-111.00736666666668,2830,15,367.02,276.05,20.9,0.3295417496830283,90.96999999999997,1,3.4965075614664802,1.5178707189086098,-5,9,2.875,8,0.5,-0.5,0,-5
2022-11-15T00:00:00Z,"KH, AK",2022,3,TumamocHill,5_2,260,5,7.3125,40,35,0.5,1,10.2,W,39,16,101.6,55,NA,32.217616666666665,-111.00736666666668,2830,33,243.73,276.05,20.9,-0.11708023908712197,-32.32000000000002,1.5,3.6888794541139363,1.989585212557975,9,10,2.75,7,0.5,0,0.5,15
