PRISM Time Series Data
Location:  Lat: 32.2839   Lon: -111.1925   Elev: 793m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2022-11-01 - 2023-11-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Jul-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2022-11-01,0.00,7.2,17.1,27.0
2022-11-02,0.00,9.7,18.7,27.8
2022-11-03,0.00,9.7,17.8,26.0
2022-11-04,0.18,4.0,10.5,17.0
2022-11-05,0.00,2.7,9.0,15.4
2022-11-06,0.00,3.9,12.5,21.1
2022-11-07,0.00,8.8,18.2,27.5
2022-11-08,0.00,8.7,18.3,28.0
2022-11-09,0.00,8.3,18.1,28.0
2022-11-10,0.01,8.3,16.3,24.3
2022-11-11,0.00,3.8,11.0,18.2
2022-11-12,0.00,2.9,11.3,19.7
2022-11-13,0.00,3.2,13.4,23.7
2022-11-14,0.00,2.4,12.4,22.4
2022-11-15,0.00,1.8,9.9,17.9
2022-11-16,0.00,2.1,11.5,20.9
2022-11-17,0.00,3.3,11.3,19.3
2022-11-18,0.00,3.7,12.5,21.3
2022-11-19,0.00,4.6,13.5,22.4
2022-11-20,0.00,3.4,12.3,21.3
2022-11-21,0.00,8.2,14.1,20.0
2022-11-22,0.00,6.0,14.1,22.3
2022-11-23,0.00,5.2,14.2,23.1
2022-11-24,0.00,4.0,13.1,22.2
2022-11-25,0.00,3.5,10.8,18.0
2022-11-26,0.00,3.2,11.3,19.3
2022-11-27,0.00,2.2,11.2,20.2
2022-11-28,0.00,2.8,11.6,20.4
2022-11-29,0.00,5.1,14.3,23.4
2022-11-30,0.00,5.4,12.5,19.6
2022-12-01,0.00,7.2,15.7,24.2
2022-12-02,0.00,8.7,16.6,24.6
2022-12-03,0.22,8.5,15.6,22.7
2022-12-04,14.68,10.7,14.3,18.0
2022-12-05,10.08,14.0,15.8,17.5
2022-12-06,1.23,9.6,14.9,20.2
2022-12-07,0.00,8.3,15.0,21.7
2022-12-08,0.00,5.1,11.8,18.5
