PRISM Time Series Data
Location:  Lat: 32.2834   Lon: -111.1922   Elev: 842m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2022-11-03 - 2023-11-03
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2025-Apr-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2022-11-03,0.00,10.1,18.0,25.8
2022-11-04,0.00,4.5,10.8,17.1
2022-11-05,0.00,3.2,9.1,15.1
2022-11-06,0.00,3.9,12.5,21.1
2022-11-07,0.00,10.4,18.9,27.5
2022-11-08,0.00,9.2,18.5,27.8
2022-11-09,0.00,8.7,18.2,27.8
2022-11-10,0.00,7.9,16.0,24.2
2022-11-11,0.00,3.7,10.8,17.9
2022-11-12,0.00,3.2,11.3,19.3
2022-11-13,0.00,3.0,13.3,23.6
2022-11-14,0.00,2.3,12.3,22.3
2022-11-15,0.00,2.2,9.9,17.6
2022-11-16,0.00,2.4,11.5,20.7
2022-11-17,0.00,4.2,11.5,18.8
2022-11-18,0.00,4.2,12.7,21.1
2022-11-19,0.00,4.9,13.6,22.2
2022-11-20,0.00,3.9,12.4,20.8
2022-11-21,0.00,10.1,14.9,19.7
2022-11-22,0.00,7.6,14.9,22.2
2022-11-23,0.00,5.6,14.3,22.9
2022-11-24,0.00,5.0,13.5,22.0
2022-11-25,0.00,4.6,11.2,17.8
2022-11-26,0.00,4.1,11.5,18.9
2022-11-27,0.00,2.7,11.4,20.0
2022-11-28,0.00,3.2,11.7,20.2
2022-11-29,0.00,5.7,14.5,23.3
2022-11-30,0.00,5.9,12.6,19.4
2022-12-01,0.00,9.2,16.7,24.2
2022-12-02,0.00,11.2,17.8,24.4
2022-12-03,0.72,9.3,15.9,22.5
2022-12-04,14.65,12.2,15.7,19.2
2022-12-05,9.64,14.1,15.9,17.7
