PRISM Time Series Data
Location:  Lat: 32.2501   Lon: -111.1835   Elev: 863m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2021-11-11 - 2022-11-11
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Jul-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2021-11-11,0.00,8.6,17.1,25.5
2021-11-12,0.00,9.5,18.4,27.2
2021-11-13,0.00,10.2,19.8,29.3
2021-11-14,0.00,10.3,20.4,30.5
2021-11-15,0.00,9.9,20.0,30.1
2021-11-16,0.00,10.3,20.4,30.6
2021-11-17,0.00,10.3,19.4,28.4
2021-11-18,0.00,8.4,16.5,24.7
2021-11-19,0.00,12.6,19.9,27.2
2021-11-20,0.00,10.0,19.3,28.6
2021-11-21,0.00,9.2,17.7,26.1
2021-11-22,0.00,10.6,17.9,25.3
2021-11-23,0.00,16.9,21.6,26.3
2021-11-24,0.47,12.3,19.3,26.3
2021-11-25,0.00,10.3,16.4,22.6
2021-11-26,0.00,10.7,15.4,20.0
2021-11-27,0.00,7.4,15.2,23.0
2021-11-28,0.00,6.5,14.3,22.2
2021-11-29,0.00,7.0,16.7,26.5
2021-11-30,0.00,8.9,17.9,26.8
2021-12-01,0.00,8.8,17.7,26.6
2021-12-02,0.00,11.0,19.6,28.2
2021-12-03,0.00,10.0,18.6,27.3
2021-12-04,0.00,9.2,17.4,25.6
2021-12-05,0.00,6.7,15.3,23.9
2021-12-06,0.00,6.1,14.6,23.0
2021-12-07,0.00,7.3,16.7,26.0
2021-12-08,0.00,8.0,16.1,24.3
2021-12-09,0.00,7.4,15.1,22.8
2021-12-10,9.05,9.3,15.4,21.6
2021-12-11,6.79,5.4,10.3,15.2
2021-12-12,0.00,4.3,11.2,18.0
2021-12-13,0.00,3.6,12.7,21.8
2021-12-14,1.68,10.2,17.1,24.1
2021-12-15,4.94,4.9,13.4,21.9
2021-12-16,0.00,1.6,6.8,12.0
2021-12-17,0.00,1.1,8.9,16.7
2021-12-18,0.00,0.2,7.0,13.8
2021-12-19,0.00,-0.7,7.7,16.0
2021-12-20,0.00,3.7,11.5,19.4
2021-12-21,0.00,4.8,12.8,20.8
2021-12-22,0.00,6.9,14.8,22.8
2021-12-23,0.00,6.6,15.3,24.0
2021-12-24,0.32,11.8,18.8,25.8
2021-12-25,9.60,10.1,13.9,17.8
2021-12-26,0.00,10.5,13.7,16.9
2021-12-27,0.00,5.6,11.5,17.5
2021-12-28,0.00,3.3,8.0,12.7
2021-12-29,0.39,2.8,8.7,14.5
2021-12-30,1.18,5.3,9.5,13.7
2021-12-31,5.05,6.7,10.3,13.8
2022-01-01,8.53,8.0,12.6,17.2
2022-01-02,1.76,-0.2,5.3,10.8
2022-01-03,0.00,-0.2,7.5,15.2
2022-01-04,0.00,2.0,10.1,18.1
2022-01-05,0.00,1.2,10.4,19.6
2022-01-06,0.00,1.1,9.8,18.5
2022-01-07,0.00,2.6,11.8,20.9
2022-01-08,0.00,4.9,14.2,23.5
2022-01-09,0.00,5.4,12.7,20.0
2022-01-10,0.00,4.3,12.7,21.2
2022-01-11,0.00,9.4,14.9,20.4
2022-01-12,0.00,5.4,12.1,18.9
2022-01-13,0.00,3.7,12.1,20.5
2022-01-14,0.00,5.3,14.0,22.6
2022-01-15,0.00,4.9,12.7,20.5
2022-01-16,0.00,2.9,11.6,20.3
2022-01-17,0.00,5.5,14.2,22.9
2022-01-18,0.00,7.0,14.5,22.0
2022-01-19,1.86,7.1,13.2,19.3
2022-01-20,0.00,4.7,11.5,18.2
2022-01-21,0.00,3.6,11.4,19.1
2022-01-22,0.00,3.9,11.9,20.0
2022-01-23,0.88,4.4,11.1,17.8
2022-01-24,0.00,3.3,10.5,17.8
2022-01-25,0.00,2.9,11.1,19.3
2022-01-26,0.00,2.0,11.2,20.4
2022-01-27,0.00,0.5,9.2,18.0
2022-01-28,0.00,0.2,8.9,17.6
2022-01-29,0.00,3.1,10.9,18.8
