PRISM Time Series Data
Location:  Lat: 32.2490   Lon: -111.1817   Elev: 850m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Jul-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,24.71,4.5,11.7,18.8
February,23.67,5.6,12.9,20.3
March,18.09,8.0,15.8,23.7
April,7.05,11.0,19.4,27.9
May,3.99,15.4,24.1,32.8
June,5.95,20.8,29.4,38.1
July,44.87,23.6,30.8,37.9
August,64.84,23.0,29.9,36.9
September,30.28,20.7,27.8,35.0
October,19.67,14.5,22.4,30.2
November,16.60,8.7,16.3,24.0
December,25.82,4.4,11.4,18.5
Annual,285.54,13.3,21.0,28.7
