PRISM Time Series Data
Location:  Lat: 32.1919   Lon: -110.6981   Elev: 1081m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2021-11-23 - 2022-11-23
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Jul-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2021-11-23,0.00,13.6,18.7,23.9
2021-11-24,0.75,12.9,18.9,24.9
2021-11-25,0.00,10.3,15.8,21.4
2021-11-26,0.00,8.8,13.9,18.9
2021-11-27,0.00,7.1,14.1,21.2
2021-11-28,0.00,7.2,14.0,20.7
2021-11-29,0.00,6.2,15.4,24.5
2021-11-30,0.00,8.0,16.5,25.0
2021-12-01,0.00,9.7,17.2,24.7
2021-12-02,0.00,10.8,18.3,25.9
2021-12-03,0.00,10.7,18.2,25.7
2021-12-04,0.00,9.4,17.2,24.9
2021-12-05,0.00,8.4,15.3,22.2
2021-12-06,0.00,7.2,14.5,21.8
2021-12-07,0.00,7.1,15.4,23.8
2021-12-08,0.00,8.6,15.5,22.4
2021-12-09,0.00,6.0,13.4,20.7
2021-12-10,9.79,6.9,13.2,19.6
2021-12-11,1.24,5.4,9.6,13.8
2021-12-12,0.00,3.7,10.6,17.5
2021-12-13,0.00,4.9,12.8,20.7
2021-12-14,0.59,7.6,15.0,22.4
2021-12-15,0.03,8.2,13.9,19.7
2021-12-16,0.00,2.9,7.6,12.3
2021-12-17,0.00,1.6,9.4,17.2
2021-12-18,0.00,1.8,7.9,13.9
2021-12-19,0.00,0.5,7.5,14.6
2021-12-20,0.00,3.3,10.6,17.9
2021-12-21,0.00,4.3,11.7,19.2
2021-12-22,0.00,6.4,13.8,21.3
2021-12-23,0.00,6.7,15.3,23.8
2021-12-24,2.02,9.5,16.8,24.1
2021-12-25,8.15,9.2,12.8,16.5
2021-12-26,0.00,10.5,13.4,16.3
2021-12-27,0.00,6.8,11.7,16.7
2021-12-28,0.00,2.8,7.6,12.5
2021-12-29,1.45,4.0,8.6,13.2
2021-12-30,1.53,3.9,8.3,12.7
2021-12-31,8.11,5.6,9.2,12.8
2022-01-01,25.29,6.6,11.6,16.5
2022-01-02,1.91,-2.3,3.5,9.3
2022-01-03,0.00,0.8,7.7,14.6
2022-01-04,0.00,1.5,10.1,18.7
2022-01-05,0.00,2.8,10.9,19.0
2022-01-06,0.00,2.9,10.5,18.2
2022-01-07,0.00,4.0,12.1,20.2
2022-01-08,0.00,5.1,13.6,22.1
2022-01-09,0.00,6.9,12.9,19.0
2022-01-10,0.00,5.3,12.7,20.1
2022-01-11,0.00,6.8,12.5,18.2
2022-01-12,0.00,5.0,11.2,17.4
2022-01-13,0.00,4.9,12.3,19.7
