PRISM Time Series Data
Location:  Lat: 32.1916   Lon: -110.6963   Elev: 1059m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2020-10-09 - 2021-10-09
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2025-Apr-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-10-09,0.00,16.1,26.0,35.8
2020-10-10,0.00,16.5,25.4,34.3
2020-10-11,0.00,16.0,24.6,33.1
2020-10-12,0.00,15.0,23.3,31.5
2020-10-13,0.00,14.0,24.0,34.0
2020-10-14,0.00,15.1,25.6,36.1
2020-10-15,0.00,17.3,26.4,35.4
2020-10-16,0.00,16.0,24.9,33.9
2020-10-17,0.00,15.3,25.7,36.1
2020-10-18,0.00,15.1,25.0,34.9
2020-10-19,0.00,14.4,23.7,33.1
2020-10-20,0.00,14.1,23.8,33.4
2020-10-21,0.00,13.2,23.2,33.1
2020-10-22,0.00,14.1,23.9,33.7
2020-10-23,0.00,15.7,23.5,31.2
2020-10-24,0.00,15.6,23.4,31.2
2020-10-25,0.00,15.7,23.4,31.1
2020-10-26,0.29,14.5,21.1,27.6
2020-10-27,3.84,0.4,9.5,18.6
2020-10-28,0.00,0.1,6.3,12.4
2020-10-29,0.00,2.1,10.4,18.7
2020-10-30,0.00,8.3,17.3,26.4
2020-10-31,0.00,10.1,19.7,29.3
2020-11-01,0.00,10.5,20.7,30.9
2020-11-02,0.00,14.7,22.6,30.5
2020-11-03,0.00,15.9,23.4,31.0
2020-11-04,0.00,13.3,23.0,32.7
2020-11-05,0.00,14.2,23.0,31.9
2020-11-06,0.00,15.3,24.0,32.7
2020-11-07,0.03,20.4,25.9,31.5
2020-11-08,2.40,9.2,17.7,26.2
2020-11-09,6.40,5.8,13.1,20.3
2020-11-10,1.41,1.1,7.1,13.1
2020-11-11,0.00,0.6,8.4,16.3
2020-11-12,0.00,1.7,11.5,21.3
2020-11-13,0.00,4.6,12.9,21.2
2020-11-14,0.00,6.5,14.4,22.4
2020-11-15,0.00,5.6,13.9,22.2
2020-11-16,0.00,5.8,16.3,26.7
2020-11-17,0.00,11.7,21.3,30.9
2020-11-18,0.00,13.7,22.9,32.2
2020-11-19,0.00,13.6,22.8,32.1
2020-11-20,0.00,13.3,22.0,30.7
2020-11-21,0.00,11.9,20.8,29.8
2020-11-22,0.00,11.3,19.9,28.5
2020-11-23,0.00,10.9,20.4,29.9
2020-11-24,0.00,9.3,17.6,25.8
2020-11-25,0.00,4.0,11.9,19.7
2020-11-26,0.00,3.1,12.3,21.5
2020-11-27,0.00,3.5,12.6,21.6
2020-11-28,0.00,1.2,8.2,15.1
2020-11-29,0.00,0.2,9.9,19.6
2020-11-30,0.00,0.7,11.6,22.6
2020-12-01,0.00,3.8,11.9,19.9
2020-12-02,0.00,1.5,10.9,20.4
2020-12-03,0.00,0.8,9.6,18.3
2020-12-04,0.00,1.2,7.2,13.2
2020-12-05,0.00,0.6,8.9,17.2
2020-12-06,0.00,1.2,10.2,19.3
2020-12-07,0.00,1.7,12.2,22.7
2020-12-08,0.00,8.0,15.3,22.5
2020-12-09,0.00,9.4,16.7,24.1
2020-12-10,9.37,8.5,17.0,25.6
2020-12-11,7.86,6.2,10.2,14.1
2020-12-12,0.00,3.9,10.6,17.2
2020-12-13,0.00,3.4,10.9,18.5
2020-12-14,0.00,0.2,8.0,15.9
2020-12-15,0.00,0.4,9.2,18.1
2020-12-16,0.00,-1.2,6.5,14.2
2020-12-17,0.00,-1.8,7.8,17.4
2020-12-18,0.00,2.4,12.3,22.3
2020-12-19,0.00,1.4,9.3,17.2
2020-12-20,0.00,-0.5,8.9,18.2
2020-12-21,0.00,0.3,11.3,22.3
2020-12-22,0.00,3.5,14.0,24.5
2020-12-23,0.00,5.0,13.5,22.0
2020-12-24,0.00,-0.2,9.2,18.6
2020-12-25,0.00,1.0,7.6,14.2
2020-12-26,0.00,3.7,11.7,19.8
2020-12-27,0.00,3.0,12.1,21.2
2020-12-28,0.00,5.0,13.7,22.4
2020-12-29,0.03,6.5,14.0,21.5
2020-12-30,0.00,0.0,6.5,13.0
2020-12-31,0.00,-0.8,6.5,13.8
2021-01-01,0.00,1.1,7.7,14.4
2021-01-02,0.00,2.0,9.1,16.3
2021-01-03,0.00,2.0,9.2,16.4
2021-01-04,0.00,2.1,9.6,17.2
2021-01-05,0.00,5.0,12.8,20.6
2021-01-06,0.00,5.9,12.9,19.9
2021-01-07,0.00,5.7,13.0,20.3
2021-01-08,0.00,5.9,13.7,21.5
2021-01-09,0.00,3.6,12.7,21.8
2021-01-10,0.00,4.5,10.2,16.0
2021-01-11,0.00,2.4,8.5,14.6
2021-01-12,0.00,4.2,9.5,14.8
2021-01-13,0.00,1.9,9.9,17.8
2021-01-14,0.00,1.9,10.6,19.4
2021-01-15,0.00,3.0,12.8,22.6
2021-01-16,0.00,7.3,14.4,21.6
2021-01-17,0.00,7.2,15.5,23.8
2021-01-18,0.00,7.4,15.9,24.4
2021-01-19,0.00,7.0,15.0,22.9
2021-01-20,0.29,9.8,15.4,21.1
2021-01-21,3.16,9.5,14.2,19.0
2021-01-22,3.43,8.4,13.8,19.1
2021-01-23,0.00,4.0,11.0,18.1
2021-01-24,0.84,6.8,12.2,17.5
2021-01-25,12.25,5.9,8.0,10.0
2021-01-26,10.92,0.1,3.4,6.7
2021-01-27,3.24,-0.8,2.1,5.1
2021-01-28,0.00,0.4,6.2,12.0
2021-01-29,0.46,7.1,13.5,19.8
2021-01-30,2.59,4.1,12.0,19.9
2021-01-31,0.00,3.3,8.7,14.2
2021-02-01,0.00,3.3,12.3,21.2
2021-02-02,0.00,11.3,16.5,21.6
2021-02-03,0.00,11.6,17.7,23.9
2021-02-04,0.00,12.3,18.8,25.3
2021-02-05,0.00,4.7,13.0,21.2
2021-02-06,0.00,4.0,11.6,19.3
2021-02-07,0.00,2.4,11.8,21.2
2021-02-08,0.00,2.8,12.9,22.9
2021-02-09,0.00,5.7,14.5,23.4
2021-02-10,0.00,6.5,14.9,23.4
