PRISM Time Series Data
Location:  Lat: 32.2178   Lon: -111.0075   Elev: 756m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 2020-09-26 - 2021-09-26
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Jul-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-09-26,0.00,22.0,30.2,38.3
2020-09-27,0.00,21.2,29.5,37.7
2020-09-28,0.00,20.2,28.5,36.8
2020-09-29,0.00,19.5,28.4,37.3
2020-09-30,0.00,21.8,29.5,37.3
2020-10-01,0.00,20.0,29.0,38.0
2020-10-02,0.00,19.9,29.6,39.3
2020-10-03,0.00,19.7,29.4,39.1
2020-10-04,0.00,19.0,28.7,38.3
2020-10-05,0.00,18.8,28.6,38.5
2020-10-06,0.00,19.2,28.9,38.5
2020-10-07,0.00,18.9,28.4,37.9
2020-10-08,0.00,18.1,28.1,38.2
2020-10-09,0.00,19.4,28.4,37.4
2020-10-10,0.00,18.6,27.3,36.0
2020-10-11,0.00,17.7,26.3,34.8
2020-10-12,0.00,16.9,24.8,32.8
2020-10-13,0.00,16.4,25.7,35.1
2020-10-14,0.00,17.9,27.6,37.3
2020-10-15,0.00,18.2,27.4,36.7
2020-10-16,0.00,17.8,26.5,35.2
2020-10-17,0.00,17.3,27.6,37.9
2020-10-18,0.00,17.1,26.7,36.3
2020-10-19,0.00,16.7,25.6,34.4
2020-10-20,0.00,16.7,25.6,34.5
2020-10-21,0.00,16.3,25.3,34.2
2020-10-22,0.00,17.1,26.0,34.9
2020-10-23,0.00,17.6,25.2,32.9
2020-10-24,0.00,18.2,25.4,32.5
2020-10-25,0.00,17.7,24.8,31.9
2020-10-26,0.00,16.7,22.9,29.1
2020-10-27,0.06,2.5,11.1,19.8
2020-10-28,0.00,1.5,8.0,14.5
2020-10-29,0.00,3.6,11.8,20.1
2020-10-30,0.00,12.3,20.4,28.4
