PRISM Time Series Data
Location:  Lat: 32.2156   Lon: -111.0081   Elev: 796m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2020-09-25 - 2021-09-25
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2025-Apr-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2020-09-25,0.00,21.3,29.7,38.1
2020-09-26,0.00,21.7,29.9,38.2
2020-09-27,0.00,21.0,29.2,37.5
2020-09-28,0.00,20.0,28.3,36.6
2020-09-29,0.00,19.5,28.3,37.1
2020-09-30,0.00,22.0,29.5,37.1
2020-10-01,0.00,19.6,28.7,37.8
2020-10-02,0.00,19.6,29.4,39.2
2020-10-03,0.00,19.3,29.1,39.0
2020-10-04,0.00,18.8,28.5,38.2
2020-10-05,0.00,18.4,28.4,38.4
2020-10-06,0.00,19.0,28.7,38.4
2020-10-07,0.00,18.5,28.1,37.8
2020-10-08,0.00,17.7,27.9,38.0
2020-10-09,0.00,19.1,28.2,37.3
2020-10-10,0.00,18.5,27.1,35.8
2020-10-11,0.00,17.5,26.1,34.6
2020-10-12,0.00,16.7,24.7,32.7
2020-10-13,0.00,16.1,25.5,35.0
2020-10-14,0.00,17.5,27.4,37.2
2020-10-15,0.00,17.8,27.2,36.6
2020-10-16,0.00,17.5,26.2,35.0
2020-10-17,0.00,17.2,27.5,37.8
2020-10-18,0.00,16.8,26.5,36.1
2020-10-19,0.00,16.3,25.3,34.3
2020-10-20,0.00,16.3,25.3,34.4
2020-10-21,0.00,15.9,25.0,34.1
2020-10-22,0.00,16.7,25.8,34.8
2020-10-23,0.00,17.3,25.0,32.7
2020-10-24,0.00,17.8,25.1,32.4
2020-10-25,0.00,17.4,24.6,31.8
2020-10-26,0.00,16.4,22.7,28.9
2020-10-27,0.00,2.1,10.9,19.7
2020-10-28,0.00,1.5,7.9,14.2
2020-10-29,0.00,3.5,11.7,20.0
2020-10-30,0.00,12.2,20.2,28.2
2020-10-31,0.00,12.9,21.7,30.4
2020-11-01,0.00,13.2,22.4,31.7
2020-11-02,0.00,16.2,24.2,32.3
2020-11-03,0.00,19.4,26.0,32.7
2020-11-04,0.00,16.6,25.1,33.5
2020-11-05,0.00,14.8,23.5,32.2
2020-11-06,0.00,15.6,24.9,34.2
2020-11-07,0.00,23.0,28.1,33.3
2020-11-08,0.00,9.9,18.7,27.6
2020-11-09,4.72,7.5,14.3,21.0
2020-11-10,0.42,4.0,8.9,13.9
2020-11-11,0.00,2.9,9.6,16.4
2020-11-12,0.00,3.4,12.2,21.0
2020-11-13,0.00,6.1,14.0,22.0
2020-11-14,0.00,8.2,15.5,22.8
2020-11-15,0.00,6.8,14.8,22.8
2020-11-16,0.00,5.8,16.5,27.1
2020-11-17,0.00,12.6,22.3,32.1
2020-11-18,0.00,15.3,24.1,32.9
2020-11-19,0.00,15.0,24.0,32.9
2020-11-20,0.00,14.8,23.2,31.6
2020-11-21,0.00,14.2,22.6,30.9
2020-11-22,0.00,13.3,21.4,29.5
2020-11-23,0.00,12.1,21.3,30.5
2020-11-24,0.00,10.7,18.8,26.9
2020-11-25,0.00,6.6,14.4,22.2
2020-11-26,0.00,5.7,13.9,22.2
2020-11-27,0.00,4.9,13.5,22.2
2020-11-28,0.00,3.3,10.0,16.6
2020-11-29,0.00,2.3,12.0,21.8
2020-11-30,0.00,3.1,13.3,23.4
2020-12-01,0.00,5.7,14.0,22.3
2020-12-02,0.00,3.1,12.0,20.9
2020-12-03,0.00,2.9,11.0,19.1
2020-12-04,0.00,2.6,9.0,15.3
2020-12-05,0.00,0.8,9.8,18.8
2020-12-06,0.00,2.7,11.5,20.4
2020-12-07,0.00,3.3,13.3,23.3
2020-12-08,0.00,6.4,15.7,25.0
2020-12-09,0.00,11.3,18.5,25.7
2020-12-10,4.67,10.7,18.5,26.4
2020-12-11,1.73,6.9,10.7,14.5
2020-12-12,0.00,6.0,12.1,18.2
2020-12-13,0.00,5.0,12.5,20.0
2020-12-14,0.00,2.6,9.5,16.3
2020-12-15,0.00,1.7,10.2,18.7
2020-12-16,0.00,0.1,7.5,14.8
2020-12-17,0.00,0.1,8.8,17.5
2020-12-18,0.00,3.9,13.1,22.4
2020-12-19,0.00,2.1,10.3,18.5
2020-12-20,0.00,1.3,10.3,19.3
2020-12-21,0.00,1.1,11.7,22.3
2020-12-22,0.00,4.5,14.7,24.9
2020-12-23,0.00,5.4,14.6,23.9
2020-12-24,0.00,1.1,10.3,19.5
2020-12-25,0.00,3.2,9.9,16.5
2020-12-26,0.00,5.2,12.8,20.4
2020-12-27,0.00,4.5,13.2,22.0
2020-12-28,0.00,6.4,14.7,23.0
2020-12-29,0.00,7.8,15.1,22.3
2020-12-30,0.00,2.1,7.9,13.8
2020-12-31,0.00,0.5,7.7,14.9
2021-01-01,0.00,0.1,8.3,16.5
2021-01-02,0.00,-0.1,8.4,16.9
2021-01-03,0.00,-0.3,8.6,17.4
2021-01-04,0.00,-0.3,9.0,18.4
2021-01-05,0.00,1.9,11.5,21.2
2021-01-06,0.00,2.3,11.8,21.3
2021-01-07,0.00,2.0,11.6,21.3
2021-01-08,0.00,1.9,12.1,22.2
2021-01-09,0.00,1.5,12.3,23.1
2021-01-10,0.00,0.0,8.7,17.5
2021-01-11,0.00,-1.4,8.0,17.4
2021-01-12,0.00,3.2,10.1,17.1
2021-01-13,0.00,-0.7,8.9,18.4
2021-01-14,0.00,-1.2,9.6,20.4
2021-01-15,0.00,1.5,11.9,22.4
2021-01-16,0.00,3.3,13.5,23.7
2021-01-17,0.00,3.4,14.5,25.7
2021-01-18,0.00,2.5,14.4,26.3
2021-01-19,0.00,3.9,14.2,24.5
2021-01-20,0.00,8.9,16.0,23.1
2021-01-21,1.32,10.8,16.1,21.5
2021-01-22,1.82,6.2,12.9,19.7
2021-01-23,0.00,4.3,12.1,19.8
2021-01-24,1.03,6.9,13.0,19.0
2021-01-25,5.50,5.1,8.2,11.4
2021-01-26,10.11,0.7,6.0,11.3
2021-01-27,2.35,-0.2,4.4,9.0
2021-01-28,0.00,0.3,8.1,15.9
2021-01-29,0.00,7.8,15.2,22.6
2021-01-30,5.37,4.3,12.9,21.6
2021-01-31,0.00,3.3,9.3,15.3
2021-02-01,0.00,3.8,13.4,22.9
2021-02-02,0.00,11.7,17.5,23.2
2021-02-03,0.00,12.1,18.2,24.4
2021-02-04,0.00,12.7,19.5,26.3
2021-02-05,0.00,4.9,13.6,22.2
2021-02-06,0.00,3.6,11.6,19.7
2021-02-07,0.00,2.5,11.9,21.4
2021-02-08,0.00,3.0,13.1,23.2
2021-02-09,0.00,4.8,14.5,24.1
2021-02-10,0.00,6.0,15.1,24.2
2021-02-11,0.00,6.9,14.8,22.8
2021-02-12,0.00,5.8,14.3,22.8
2021-02-13,0.00,6.2,14.7,23.3
2021-02-14,0.00,5.3,13.5,21.7
2021-02-15,0.00,2.7,9.3,15.8
2021-02-16,0.00,2.4,9.8,17.1
2021-02-17,0.00,3.7,10.8,18.0
2021-02-18,0.00,1.8,9.4,17.1
