Year;Site;Transect;Plot;Aspect;PlotSlope;Prev_year_precip;Survival_perc;BGDensity;BGCover;ShrubCover;HerbCover
2021;TumamocHill;5_2;260;W;10,2;367,02;0,2500000000000000;4,5625;33;20,0;1,0
2021;TumamocHill;5_2;261;W;6,6;367,02;0,5000000000000000;10,5000;40;5,0;21,0
2021;TumamocHill;5_2;262;W;14,6;367,02;0,4285714285714285;4,1875;50;15,0;32,0
2021;TumamocHill;5_3;40;N;8,0;366,99;0,5789473684210527;8,6875;45;10,0;13,5
2021;TumamocHill;5_3;41;N;16,2;366,99;0,5789473684210527;8,1250;33;15,0;22,0
2021;TumamocHill;5_3;42;N;18,8;366,99;0,3076923076923077;3,8750;25;15,0;28,0
2021;TumamocHill;5_5;96;N;12,8;360,42;0,1428571428571428;7,6875;90;5,0;3,5
2021;TumamocHill;5_5;95;N;9,2;360,42;0,4000000000000000;5,4375;90;15,0;3,5
2021;TumamocHill;5_5;94;N;6,6;360,42;0,3000000000000000;3,2500;90;0,0;3,5
2021;TumamocHill;5_6;218;W;17,0;360,76;1,0000000000000000;24,4375;60;0,0;13,0
2021;TumamocHill;5_6;219;W;16,4;360,76;0,7500000000000000;16,5000;75;10,0;12,0
2021;TumamocHill;5_6;220;W;17,2;360,76;0,5500000000000000;15,5000;50;15,0;3,0
2021;TumamocHill;5_4;221;W;15,6;375,12;0,5652173913043478;6,8750;80;0,0;1,5
2021;TumamocHill;5_4;222;W;22,2;375,12;0,3333333333333333;3,4375;50;16,0;6,0
2021;TumamocHill;5_4;223;W;19,4;375,12;0,1818181818181819;4,7500;90;12,0;3,0
2021;TumamocHill;4_1;263;S;11,8;373,85;0,3846153846153846;10,8750;40;0,0;1,0
2021;TumamocHill;4_1;264;S;13,8;373,85;0,8571428571428571;13,9375;20;15,0;2,5
2021;TumamocHill;4_1;265;S;11,4;373,85;0,5882352941176471;31,1250;25;15,0;2,0
2021;TumamocHill;4_2;296;S;8,0;373,91;0,1000000000000000;4,4375;60;18,0;6,0
2021;TumamocHill;4_2;297;S;9,2;373,91;0,1428571428571428;7,1250;75;8,0;10,5
2021;TumamocHill;4_2;298;S;4,4;373,91;0,4285714285714285;3,3750;20;30,0;10,5
2021;TumamocHill;5_1;362;N;17,4;374,99;0,8000000000000000;6,4375;40;15,0;14,0
2021;TumamocHill;5_1;363;N;22,4;374,99;0,7826086956521739;5,8750;20;16,0;32,0
2021;TumamocHill;5_1;364;N;18,8;374,99;0,7000000000000000;6,3125;25;22,0;20,0
2022;TumamocHill;5_2;260;W;10,2;243,73;0,0000000000000000;7,3125;40;35,0;1,5
2022;TumamocHill;5_2;261;W;6,6;243,73;0,0714285714285714;10,5625;30;8,0;5,0
2022;TumamocHill;5_2;262;W;14,6;243,73;0,1578947368421052;11,1250;27;30,0;13,0
2022;TumamocHill;5_3;40;N;8,0;243,62;0,0000000000000000;16,7500;38;10,0;2,0
2022;TumamocHill;5_3;41;N;16,2;243,62;0,0000000000000000;9,8125;18;25,0;9,0
2022;TumamocHill;5_3;42;N;18,8;243,62;0,0000000000000000;14,4375;38;35,0;11,0
2022;TumamocHill;5_5;96;N;12,8;244,44;0,2857142857142857;8,3125;50;10,0;0,0
2022;TumamocHill;5_5;95;N;9,2;244,44;0,0000000000000000;5,7500;67;22,0;0,0
2022;TumamocHill;5_5;94;N;6,6;244,44;0,0909090909090909;3,4375;66;0,5;0,0
2022;TumamocHill;5_6;218;W;17,0;244,38;0,3478260869565217;9,3125;23;0,0;0,5
2022;TumamocHill;5_6;219;W;16,4;244,38;0,0833333333333333;6,7500;25;7,0;1,0
2022;TumamocHill;5_6;220;W;17,2;244,38;0,2500000000000000;8,5000;20;10,0;0,5
2022;TumamocHill;5_4;221;W;15,6;244,42;0,0000000000000000;3,8750;65;0,0;0,0
2022;TumamocHill;5_4;222;W;22,2;244,42;0,0000000000000000;3,0000;30;18,0;0,0
2022;TumamocHill;5_4;223;W;19,4;244,42;0,0000000000000000;3,5000;55;10,0;0,0
2022;TumamocHill;5_1;362;N;17,4;245,03;0,1176470588235294;9,8125;33;17,0;6,0
2022;TumamocHill;5_1;363;N;22,4;245,03;0,0000000000000000;9,3125;25;20,0;16,0
2022;TumamocHill;5_1;364;N;18,8;245,03;0,1000000000000000;11,0625;33;8,0;5,0
2021;LomaVerde;71;416;W;11,8;499,34;0,1538461538461538;1,8750;18;45,0;22,0
2021;LomaVerde;71;417;W;20,0;499,34;0,2500000000000000;2,6875;35;20,0;22,0
2021;LomaVerde;71;418;W;18,4;499,34;0,2941176470588235;3,6250;60;15,0;6,0
2022;LomaVerde;71;416;W;11,8;338,68;0,0869565217391304;6,9375;20;45,0;11,0
2022;LomaVerde;71;417;W;20,0;338,68;0,0769230769230769;6,3125;40;17,0;1,0
2022;LomaVerde;71;418;W;18,4;338,68;0,2000000000000000;11,3125;50;17,0;4,0
2021;KinneyHill;76;395;SW;14,2;322,91;0,9411764705882352;2,1875;40;12,0;1,0
2021;KinneyHill;76;396;SW;9,8;322,91;0,7894736842105263;2,9375;40;4,0;2,0
2021;KinneyHill;76;397;SW;16,2;322,91;0,5454545454545454;2,5000;50;25,0;3,0
2021;KinneyHill;57;398;SW;16,8;323,62;0,2105263157894737;1,3125;25;15,0;5,0
2021;KinneyHill;57;399;SW;22,8;323,62;0,7727272727272727;1,7500;20;0,0;2,0
2021;KinneyHill;57;400;SW;20,0;323,62;0,4000000000000000;1,8750;30;10,0;6,0
2021;KinneyHill;78;401;E;20,0;325,69;0,5714285714285714;2,1875;13;13,0;15,0
2021;KinneyHill;78;402;E;9,8;325,69;0,5416666666666666;3,8750;30;18,0;1,0
2021;KinneyHill;78;403;E;20,2;325,69;0,5000000000000000;3,7500;50;10,0;3,0
2021;KinneyHill;77;404;E;28,4;325,96;0,3750000000000000;1,3125;25;10,0;27,0
2021;KinneyHill;77;405;E;15,2;325,96;0,6428571428571429;2,8125;8;15,0;20,0
2021;KinneyHill;77;406;E;15,0;325,96;0,6000000000000000;4,0625;25;2,0;25,0
2021;KinneyHill;70;407;S;14,6;332,19;0,4814814814814815;5,5625;35;30,0;1,0
2021;KinneyHill;70;408;S;20,8;332,19;0,4782608695652174;5,5000;25;3,0;0,5
2021;KinneyHill;70;409;S;18,8;332,19;0,6956521739130435;10,3125;35;5,0;1,0
2021;KinneyHill;66;410;S;16,8;333,03;0,7619047619047619;17,0625;40;15,0;16,0
2021;KinneyHill;66;411;S;17,0;333,03;0,8947368421052632;13,8750;35;18,0;23,0
2021;KinneyHill;66;412;S;21,0;333,03;0,7142857142857143;8,0625;22;9,0;7,5
2021;KinneyHill;68;413;W;21,2;328,83;0,7142857142857143;11,1875;33;13,0;9,0
2021;KinneyHill;68;414;W;20,8;328,83;0,8571428571428571;5,6250;18;17,0;4,0
2021;KinneyHill;68;415;W;20,2;328,83;0,5789473684210527;7,7500;25;10,0;2,5
2022;KinneyHill;76;395;SW;14,2;248,42;0,0000000000000000;3,2500;27;10,0;1,0
2022;KinneyHill;76;396;SW;9,8;248,42;0,0000000000000000;4,4375;40;2,0;1,0
2022;KinneyHill;76;397;SW;16,2;248,42;0,0000000000000000;6,0000;35;30,0;1,0
2022;KinneyHill;57;398;SW;16,8;248,09;0,0000000000000000;2,3750;25;6,0;11,0
2022;KinneyHill;57;399;SW;22,8;248,09;0,0000000000000000;3,2500;22;1,0;5,0
2022;KinneyHill;57;400;SW;20,0;248,09;0,1052631578947368;3,1875;30;9,0;1,0
2022;KinneyHill;78;401;E;20,0;246,82;0,0000000000000000;3,1250;18;6,0;4,5
2022;KinneyHill;78;402;E;9,8;246,82;0,0000000000000000;4,9375;30;13,0;2,0
2022;KinneyHill;78;403;E;20,2;246,82;0,0000000000000000;3,6875;35;5,0;0,5
2022;KinneyHill;77;404;E;28,4;246,72;0,0000000000000000;1,6250;23;30,0;11,0
2022;KinneyHill;77;405;E;15,2;246,72;0,2777777777777778;3,6875;23;17,0;5,0
2022;KinneyHill;77;406;E;15,0;246,72;0,0000000000000000;3,7500;25;0,0;9,0
2022;KinneyHill;70;407;S;14,6;247,55;0,0000000000000000;3,1250;15;11,0;0,0
2022;KinneyHill;70;408;S;20,8;247,55;0,0000000000000000;3,6875;25;1,0;0,0
2022;KinneyHill;70;409;S;18,8;247,55;0,0000000000000000;5,0000;20;5,0;0,5
2022;KinneyHill;66;410;S;16,8;247,15;0,0714285714285714;11,5625;40;6,0;2,5
2022;KinneyHill;66;411;S;17,0;247,15;0,0000000000000000;8,2500;23;9,0;2,0
2022;KinneyHill;66;412;S;21,0;247,15;0,0000000000000000;5,6875;25;5,0;2,5
2022;KinneyHill;68;413;W;21,2;252,67;0,0000000000000000;4,2500;33;15,0;1,5
2022;KinneyHill;68;414;W;20,8;252,67;0,0500000000000000;3,1250;20;16,0;5,5
2022;KinneyHill;68;415;W;20,2;252,67;0,0000000000000000;2,8750;23;11,0;5,0
2021;ApachePeak;79;425;W;26,2;318,03;0,2631578947368421;4,3125;45;4,0;9,0
2021;ApachePeak;79;426;W;20,0;318,03;0,4000000000000000;3,6250;50;7,0;5,0
2021;ApachePeak;79;427;W;18,6;318,03;0,6666666666666666;5,3125;40;10,0;0,5
2021;ApachePeak;80;428;E;21,0;319,28;0,5217391304347826;6,5625;20;13,0;4,0
2021;ApachePeak;80;429;E;20,0;319,28;0,4500000000000000;4,6250;18;10,0;5,0
2021;ApachePeak;82;431;E;8,8;319,08;0,4642857142857143;6,7500;18;18,0;6,0
2021;ApachePeak;82;432;E;9,4;319,08;0,6875000000000000;6,7500;18;18,0;6,0
2021;ApachePeak;83;433;W;20,8;318,74;0,6800000000000000;5,2500;22;10,0;7,0
2021;ApachePeak;83;434;W;21,2;318,74;0,4444444444444444;5,7500;20;15,0;12,0
2021;ApachePeak;83;435;W;20,8;318,74;0,6800000000000000;6,6875;25;22,0;8,0
2021;ApachePeak;84;436;S;25,8;319,74;0,5000000000000000;3,1875;10;8,0;10,0
2021;ApachePeak;84;437;S;23,4;319,74;0,5000000000000000;4,8125;25;18,0;9,0
2021;ApachePeak;84;438;S;22,6;319,74;0,5000000000000000;7,5000;25;18,0;3,5
2021;ApachePeak;85;439;E;20,6;321,29;0,0869565217391304;4,4375;70;13,0;0,0
2021;ApachePeak;85;440;E;20,0;321,29;0,2105263157894737;6,0625;25;10,0;3,0
