Year,Site,Transect,Plot,Plant_ID,PlotSlope,Prev_year_precip,Change_TotalCulms,Change_ReproductiveCulms,Change_BGDensity,Change_BGCover,Change_ShrubCover,Change_HerbCover,Init_BGDensity,Init_BGCover,Init_ShrubCover,Init_HerbCover
2021,TumamocHill,5_2,260,1,10.2,367.02,-14,-4,2.875,8,-5,0,1.6875,25,25,1
2022,TumamocHill,5_2,260,1,10.2,243.73,0,0,2.75,7,15,0.5,1.6875,25,25,1
2021,TumamocHill,5_2,260,2,10.2,367.02,29,3,2.875,8,-5,0,1.6875,25,25,1
2022,TumamocHill,5_2,260,2,10.2,243.73,17,13,2.75,7,15,0.5,1.6875,25,25,1
2021,TumamocHill,5_2,260,3,10.2,367.02,14,12,2.875,8,-5,0,1.6875,25,25,1
2022,TumamocHill,5_2,260,3,10.2,243.73,2,-5,2.75,7,15,0.5,1.6875,25,25,1
2021,TumamocHill,5_2,260,4,10.2,367.02,-14,-3,2.875,8,-5,0,1.6875,25,25,1
2022,TumamocHill,5_2,260,4,10.2,243.73,0,0,2.75,7,15,0.5,1.6875,25,25,1
2021,TumamocHill,5_2,260,5,10.2,367.02,9,-5,2.875,8,-5,0,1.6875,25,25,1
2022,TumamocHill,5_2,260,5,10.2,243.73,10,9,2.75,7,15,0.5,1.6875,25,25,1
2021,TumamocHill,5_2,260,6,10.2,367.02,28,20,2.875,8,-5,0,1.6875,25,25,1
2022,TumamocHill,5_2,260,6,10.2,243.73,1,-5,2.75,7,15,0.5,1.6875,25,25,1
2021,TumamocHill,5_2,260,7,10.2,367.02,27,6,2.875,8,-5,0,1.6875,25,25,1
2022,TumamocHill,5_2,260,7,10.2,243.73,18,19,2.75,7,15,0.5,1.6875,25,25,1
2021,TumamocHill,5_2,260,8,10.2,367.02,10,9,2.875,8,-5,0,1.6875,25,25,1
2022,TumamocHill,5_2,260,8,10.2,243.73,30,-4,2.75,7,15,0.5,1.6875,25,25,1
2021,TumamocHill,5_2,260,9,10.2,367.02,-3,-1,2.875,8,-5,0,1.6875,25,25,1
2022,TumamocHill,5_2,260,9,10.2,243.73,0,0,2.75,7,15,0.5,1.6875,25,25,1
2021,TumamocHill,5_2,260,10,10.2,367.02,34,7,2.875,8,-5,0,1.6875,25,25,1
2022,TumamocHill,5_2,260,10,10.2,243.73,17,15,2.75,7,15,0.5,1.6875,25,25,1
2021,TumamocHill,5_2,261,11,6.6,367.02,-5,-2,7.375,0,-3,15,3.125,40,8,6
2022,TumamocHill,5_2,261,11,6.6,243.73,0,0,0.0625,-10,3,-16,3.125,40,8,6
