Year,Site,Transect,Plot,PlotSlope,Prev_year_precip,Change_BGDensity,Change_BGCover,Change_ShrubCover,Change_HerbCover,Init_BGDensity,Init_BGCover,Init_ShrubCover,Init_HerbCover
2021,TumamocHill,5_2,260,10.2,367.02,2.875,8,-5,0,1.6875,25,25,1
2022,TumamocHill,5_2,260,10.2,243.73,2.75,7,15,0.5,1.6875,25,25,1
2021,TumamocHill,5_2,261,6.6,367.02,7.375,0,-3,15,3.125,40,8,6
2022,TumamocHill,5_2,261,6.6,243.73,0.0625,-10,3,-16,3.125,40,8,6
2021,TumamocHill,5_2,262,14.6,367.02,1.6875,20,-25,6,2.5,30,40,26
2022,TumamocHill,5_2,262,14.6,243.73,6.9375,-23,15,-19,2.5,30,40,26
2021,TumamocHill,5_3,40,8,366.99,3.5,15,0,-9.5,5.1875,30,10,23
2022,TumamocHill,5_3,40,8,243.62,8.0625,-7,0,-11.5,5.1875,30,10,23
2021,TumamocHill,3_1,299,21.6,359.41,22.375,35,-5,3.5,2.1875,30,15,2
2021,TumamocHill,3_1,300,12,359.41,18.75,42,-7,10.5,3.4375,28,15,2
2021,TumamocHill,3_1,331,17.8,359.41,12.75,42,2,6.5,4.0625,38,3,1
2021,TumamocHill,5_3,41,16.2,366.99,5.1875,21,-18,-33,2.9375,12,33,55
2022,TumamocHill,5_3,41,16.2,243.62,1.6875,-15,10,-13,2.9375,12,33,55
2021,TumamocHill,5_3,42,18.8,366.99,1.0625,7,-8,13,2.8125,18,23,15
2022,TumamocHill,5_3,42,18.8,243.62,10.5625,13,20,-17,2.8125,18,23,15
2021,TumamocHill,5_5,96,12.8,360.42,3.875,40,-5,2.5,3.8125,50,10,1
2022,TumamocHill,5_5,96,12.8,244.44,0.625,-40,5,-3.5,3.8125,50,10,1
2021,TumamocHill,5_5,95,9.2,360.42,1.6875,30,-25,2.5,3.75,60,40,1
2022,TumamocHill,5_5,95,9.2,244.44,0.3125,-23,7,-3.5,3.75,60,40,1
2021,TumamocHill,5_5,94,6.6,360.42,0.3125,45,-10,2.5,2.9375,45,10,1
2022,TumamocHill,5_5,94,6.6,244.44,0.1875,-24,0.5,-3.5,2.9375,45,10,1
2021,TumamocHill,5_6,218,17,360.76,19.6875,30,0,10,4.75,30,0,3
2022,TumamocHill,5_6,218,17,244.38,-15.125,-37,0,-12.5,4.75,30,0,3
2021,TumamocHill,5_6,219,16.4,360.76,11.125,35,0,8.5,5.375,40,10,3.5
2022,TumamocHill,5_6,219,16.4,244.38,-9.75,-50,-3,-11,5.375,40,10,3.5
2021,TumamocHill,5_6,220,17.2,360.76,6.375,0,-15,-1,9.125,50,30,4
2022,TumamocHill,5_6,220,17.2,244.38,-7,-30,-5,-2.5,9.125,50,30,4
2021,TumamocHill,5_4,221,15.6,375.12,3.6875,10,0,0.5,3.1875,70,0,1
2022,TumamocHill,5_4,221,15.6,244.42,-3,-15,0,-1.5,3.1875,70,0,1
2021,TumamocHill,5_4,222,22.2,375.12,0.875,5,-9,5,2.5625,45,25,1
2022,TumamocHill,5_4,222,22.2,244.42,-0.4375,-20,2,-6,2.5625,45,25,1
2021,TumamocHill,5_4,223,19.4,375.12,1.3125,30,-8,2,3.4375,60,20,1
2022,TumamocHill,5_4,223,19.4,244.42,-1.25,-35,-2,-3,3.4375,60,20,1
